Voltage (V),Douter (m),Dinner (m)
5000,0.0503,0.0288
5500,0.0465,0.0261
6000,0.0471,0.026
6500,0.0425,0.0269
7000,0.0435,0.026
7500,0.0399,0.0241
8000,0.0371,0.0225
8500,0.0375,0.023
9000,0.0371,0.0218
9500,0.0355,0.0221
10000,0.0355,0.0205
